iteracao,threads,schedule,chunk_size,tempo_segundos
1,1,static,1,21.352279
1,1,static,32,21.243789
1,1,static,64,21.333378
1,1,static,128,21.304943
1,1,dynamic,1,21.320954
1,1,dynamic,32,21.289505
1,1,dynamic,64,21.318858
1,1,dynamic,128,21.321709
1,2,static,1,10.760095
1,2,static,32,10.799828
1,2,static,64,10.905777
1,2,static,128,10.919493
1,2,dynamic,1,10.832832
1,2,dynamic,32,10.793402
1,2,dynamic,64,10.864395
1,2,dynamic,128,11.025118
1,4,static,1,6.665957
1,4,static,32,6.673016
1,4,static,64,6.864580
1,4,static,128,6.843237
1,4,dynamic,1,6.371968
1,4,dynamic,32,6.371098
1,4,dynamic,64,6.461961
1,4,dynamic,128,6.394290
1,8,static,1,3.439816
1,8,static,32,3.622620
1,8,static,64,3.664471
1,8,static,128,3.603473
1,8,dynamic,1,3.252884
1,8,dynamic,32,3.471071
1,8,dynamic,64,3.609396
1,8,dynamic,128,3.838142
