iteracao,threads,schedule,chunk_size,tempo_segundos
1,1,static,1,20.560282
1,1,static,32,20.580663
1,1,static,64,20.671447
1,1,static,128,20.765473
1,1,dynamic,1,20.676952
1,1,dynamic,32,20.803803
1,1,dynamic,64,20.593923
1,1,dynamic,128,20.649358
1,1,guided,1,20.583956
1,1,guided,32,20.567655
1,1,guided,64,20.614964
1,1,guided,128,20.607282
1,2,static,1,10.281454
1,2,static,32,10.317939
1,2,static,64,10.392091
1,2,static,128,10.367398
1,2,dynamic,1,10.292827
1,2,dynamic,32,10.300440
1,2,dynamic,64,10.337384
1,2,dynamic,128,10.333303
1,2,guided,1,10.288875
1,2,guided,32,10.314622
1,2,guided,64,10.340184
1,2,guided,128,10.353287
1,4,static,1,5.221794
1,4,static,32,5.205508
1,4,static,64,5.259296
1,4,static,128,5.486991
1,4,dynamic,1,5.138616
1,4,dynamic,32,5.174316
1,4,dynamic,64,5.227821
1,4,dynamic,128,5.348719
1,4,guided,1,5.141049
1,4,guided,32,5.173387
1,4,guided,64,5.341090
1,4,guided,128,5.340977
1,8,static,1,2.674123
1,8,static,32,2.712642
1,8,static,64,2.835723
1,8,static,128,3.123094
1,8,dynamic,1,2.671539
1,8,dynamic,32,2.759279
1,8,dynamic,64,2.868168
1,8,dynamic,128,4.048539
1,8,guided,1,3.120012
1,8,guided,32,3.016961
1,8,guided,64,2.846293
1,8,guided,128,2.992412
