iteracao,threads,schedule,chunk_size,tempo_segundos
1,1,static,1,17.326800
1,1,static,32,17.214016
1,1,static,64,17.213058
1,1,static,128,17.142999
1,1,dynamic,1,17.175375
1,1,dynamic,32,17.137330
1,1,dynamic,64,17.121041
1,1,dynamic,128,17.187544
1,1,guided,1,17.399960
1,1,guided,32,17.530847
1,1,guided,64,17.520525
1,1,guided,128,17.558604
1,2,static,1,8.913190
1,2,static,32,8.901276
1,2,static,64,8.843128
1,2,static,128,8.847578
1,2,dynamic,1,8.761919
1,2,dynamic,32,8.777093
1,2,dynamic,64,8.808040
1,2,dynamic,128,8.864169
1,2,guided,1,8.789591
1,2,guided,32,8.781607
1,2,guided,64,8.803445
1,2,guided,128,8.828076
1,4,static,1,4.473525
1,4,static,32,4.516796
1,4,static,64,4.523730
1,4,static,128,4.757812
1,4,dynamic,1,4.466615
1,4,dynamic,32,4.555712
1,4,dynamic,64,4.510336
1,4,dynamic,128,4.641597
1,4,guided,1,4.471165
1,4,guided,32,4.491216
1,4,guided,64,4.567814
1,4,guided,128,4.665579
1,8,static,1,2.375130
1,8,static,32,2.389345
1,8,static,64,2.570766
1,8,static,128,2.754528
1,8,dynamic,1,2.342345
1,8,dynamic,32,2.372142
1,8,dynamic,64,2.455085
1,8,dynamic,128,2.624079
1,8,guided,1,2.351207
1,8,guided,32,2.444234
1,8,guided,64,2.441656
1,8,guided,128,2.518650
