iteracao,p,threads,schedule,chunk_size,width,height,tempo_segundos,pixels
1,1,1,static,1,1920,1080,1.089450,2073600
1,2,2,static,1,2715,1527,1.108326,4145805
1,4,4,static,1,3840,2160,1.197470,8294400
1,1,1,dynamic,1,1920,1080,1.070614,2073600
1,2,2,dynamic,1,2715,1527,1.101796,4145805
1,4,4,dynamic,1,3840,2160,1.116164,8294400
1,1,1,guided,1,1920,1080,1.072792,2073600
1,2,2,guided,1,2715,1527,1.092593,4145805
1,4,4,guided,1,3840,2160,1.113364,8294400
1,1,1,static,32,1920,1080,1.076390,2073600
1,2,2,static,32,2715,1527,1.099393,4145805
1,4,4,static,32,3840,2160,1.121744,8294400
1,1,1,dynamic,32,1920,1080,1.078576,2073600
1,2,2,dynamic,32,2715,1527,1.091699,4145805
1,4,4,dynamic,32,3840,2160,1.121110,8294400
1,1,1,guided,32,1920,1080,1.070903,2073600
1,2,2,guided,32,2715,1527,1.093701,4145805
1,4,4,guided,32,3840,2160,1.133416,8294400
1,1,1,static,64,1920,1080,1.127346,2073600
1,2,2,static,64,2715,1527,1.094810,4145805
1,4,4,static,64,3840,2160,1.183333,8294400
1,1,1,dynamic,64,1920,1080,1.065952,2073600
1,2,2,dynamic,64,2715,1527,1.089364,4145805
1,4,4,dynamic,64,3840,2160,1.150696,8294400
1,1,1,guided,64,1920,1080,1.111338,2073600
1,2,2,guided,64,2715,1527,1.129734,4145805
1,4,4,guided,64,3840,2160,1.155702,8294400
1,1,1,static,128,1920,1080,1.075638,2073600
1,2,2,static,128,2715,1527,1.095384,4145805
1,4,4,static,128,3840,2160,1.268136,8294400
1,1,1,dynamic,128,1920,1080,1.079520,2073600
1,2,2,dynamic,128,2715,1527,1.150351,4145805
1,4,4,dynamic,128,3840,2160,1.264627,8294400
1,1,1,guided,128,1920,1080,1.148407,2073600
1,2,2,guided,128,2715,1527,1.149294,4145805
1,4,4,guided,128,3840,2160,1.155825,8294400
