experiment,rep,kind,np,workers,total_frames,total_s,io_s,compute_max_s,compute_min_s,imbalance_pct
strong,1,seq,1,0,60,163.871699,0.000000,163.871694,163.871694,0.0000
strong,1,par,2,1,60,165.112232,0.000000,164.115987,164.115987,0.0000
strong,1,par,4,3,60,55.717266,0.000000,55.375489,53.995632,2.4918
strong,1,par,8,7,60,25.458763,0.000000,25.292149,22.053916,12.8033
strong,1,par,16,15,60,12.396135,0.000000,12.313070,10.435067,15.2521
strong,1,par,32,31,60,7.648817,0.000000,7.511857,3.447724,54.1029
strong,2,seq,1,0,60,163.865660,0.000000,163.865651,163.865651,0.0000
strong,2,par,2,1,60,164.943945,0.000000,163.958235,163.958235,0.0000
strong,2,par,4,3,60,55.563957,0.000000,55.234641,54.054701,2.1362
strong,2,par,8,7,60,24.991072,0.000000,24.824546,22.108461,10.9411
strong,2,par,16,15,60,12.400005,0.000000,12.316924,10.446465,15.1861
strong,2,par,32,31,60,7.653366,0.000000,7.532921,3.443361,54.2892
strong,3,seq,1,0,60,163.866339,0.000000,163.866332,163.866332,0.0000
strong,3,par,2,1,60,164.960294,0.000000,163.979717,163.979717,0.0000
strong,3,par,4,3,60,55.705303,0.000000,55.365726,53.993268,2.4789
strong,3,par,8,7,60,25.544208,0.000000,25.380866,22.256777,12.3088
strong,3,par,16,15,60,12.391278,0.000000,12.308201,10.430979,15.2518
strong,3,par,32,31,60,7.653015,0.000000,7.531675,3.442203,54.2970
weak,1,par,2,1,10,17.967976,0.000000,17.788224,17.788224,0.0000
weak,1,par,4,3,30,24.082247,0.000000,23.903812,22.986959,3.8356
weak,1,par,8,7,70,29.857531,0.000000,29.678277,27.201195,8.3464
weak,1,par,16,15,150,41.120826,0.000000,40.955649,36.810771,10.1204
weak,1,par,32,31,310,73.709249,0.000000,73.377044,62.045748,15.4426
weak,2,par,2,1,10,17.975047,0.000000,17.793704,17.793704,0.0000
weak,2,par,4,3,30,24.087078,0.000000,23.908588,22.984460,3.8653
weak,2,par,8,7,70,30.205117,0.000000,30.025030,27.361696,8.8704
weak,2,par,16,15,150,41.134037,0.000000,40.956381,36.835554,10.0615
weak,2,par,32,31,310,73.418266,0.000000,73.156233,62.004798,15.2433
weak,3,par,2,1,10,17.970123,0.000000,17.788577,17.788577,0.0000
weak,3,par,4,3,30,24.081157,0.000000,23.903779,22.960352,3.9468
weak,3,par,8,7,70,30.783437,0.000000,30.603229,27.242546,10.9815
weak,3,par,16,15,150,41.146365,0.000000,40.972577,36.811709,10.1553
weak,3,par,32,31,310,74.094829,0.000000,73.800091,61.938498,16.0726
