programa,processos,tempo_seq,tempo_par,speedup,eficiencia,desbalanceamento,segmentos,processos_ativos
mpi_arvore,1,1510.067802,993.477948,1.519981,1.519981,0.000000,1,1
mpi_arvore,3,1510.067802,249.913040,6.042373,2.014124,0.999981,2,3
mpi_arvore,7,1510.067802,65.678245,22.991902,3.284557,0.999965,4,7
mpi_arvore,15,1510.067802,26.710708,56.534174,3.768945,0.999937,8,15
mpi_arvore,31,1510.067802,6.633026,227.658960,7.343837,0.999890,16,31
mpi_arvore,63,1510.067802,3.795500,397.857411,6.315197,0.999908,32,63
mpi_arvore,123,1510.067802,5.160643,292.612336,2.378962,0.999965,62,123
mpi_arvore,255,1510.067802,1.515933,996.130965,3.906396,0.999909,128,255
mpi_arvore,511,1510.067802,1.728597,873.580020,1.709550,0.999907,256,511
mpi_balanceado,1,1510.067802,993.118980,1.520531,1.520531,0.000000,1,1
mpi_balanceado,3,1510.067802,249.297757,6.057286,2.019095,0.748351,3,3
mpi_balanceado,7,1510.067802,65.724699,22.975652,3.282236,0.750374,7,7
mpi_balanceado,15,1510.067802,25.927928,58.240975,3.882732,0.842007,15,15
mpi_balanceado,31,1510.067802,5.386503,280.342887,9.043319,0.809861,31,31
mpi_balanceado,63,1510.067802,2.883738,523.649445,8.311896,0.854999,63,63
mpi_balanceado,123,1510.067802,1.698886,888.857641,7.226485,0.914925,123,123
mpi_balanceado,255,1510.067802,0.822824,1835.225762,7.196964,0.856833,255,255
mpi_balanceado,511,1510.067802,1.090635,1384.576693,2.709543,0.822033,511,511
