programa,processos,tempo_seq,tempo_par,speedup,eficiencia,desbalanceamento,segmentos,processos_ativos
mpi_arvore,1,4166.763109,4493.412591,0.927305,0.927305,0.000000,1,1
mpi_arvore,3,4166.763109,1144.909782,3.639381,1.213127,0.999992,2,3
mpi_arvore,7,4166.763109,296.330883,14.061184,2.008741,0.999984,4,7
mpi_arvore,15,4166.763109,148.810265,28.000509,1.866701,0.999974,8,15
mpi_arvore,31,4166.763109,36.518491,114.100090,3.680648,0.999957,16,31
mpi_arvore,63,4166.763109,19.715888,211.340372,3.354609,0.999960,32,63
mpi_arvore,123,4166.763109,30.403406,137.049221,1.114221,0.999987,62,123
mpi_arvore,255,4166.763109,5.575069,747.392204,2.930950,0.999962,128,255
mpi_arvore,511,4166.763109,3.780835,1102.074835,2.156702,0.999961,256,511
mpi_balanceado,1,4166.763109,4502.400125,0.925454,0.925454,0.000000,1,1
mpi_balanceado,3,4166.763109,1129.174887,3.690095,1.230032,0.746936,3,3
mpi_balanceado,7,4166.763109,296.320792,14.061663,2.008809,0.750096,7,7
mpi_balanceado,15,4166.763109,93.231681,44.692567,2.979504,0.760622,15,15
mpi_balanceado,31,4166.763109,29.998389,138.899563,4.480631,0.830457,31,31
mpi_balanceado,63,4166.763109,14.965120,278.431654,4.419550,0.776217,63,63
mpi_balanceado,123,4166.763109,8.309878,501.422898,4.076609,0.791130,123,123
mpi_balanceado,255,4166.763109,3.878114,1074.430280,4.213452,0.747515,255,255
mpi_balanceado,511,4166.763109,2.521845,1652.267728,3.233401,0.764238,511,511
