programa,processos,tempo_seq,tempo_par,speedup,eficiencia,desbalanceamento,segmentos,processos_ativos
mpi_arvore,1,15.575509,10.019962,1.554448,1.554448,0.000000,1,1
mpi_arvore,3,15.575509,2.475644,6.291498,2.097166,0.999863,2,3
mpi_arvore,7,15.575509,0.650626,23.939266,3.419895,0.999733,4,7
mpi_arvore,15,15.575509,0.267180,58.295939,3.886396,0.999530,8,15
mpi_arvore,31,15.575509,0.071349,218.300313,7.041946,0.999178,16,31
mpi_balanceado,1,15.575509,10.028382,1.553143,1.553143,0.000000,1,1
mpi_balanceado,3,15.575509,2.467931,6.311161,2.103720,0.753060,3,3
mpi_balanceado,7,15.575509,0.647399,24.058593,3.436942,0.765981,7,7
mpi_balanceado,15,15.575509,0.263856,59.030339,3.935356,0.863270,15,15
mpi_balanceado,31,15.575509,0.067083,232.182654,7.489763,0.013048,16,16
