--- Início dos Experimentos ---
>> Repetição 1
Hibrido, Nos: 1, Threads: 1, Tempo: 443.659770s
Hibrido, Nos: 1, Threads: 2, Tempo: 223.361921s
Hibrido, Nos: 1, Threads: 4, Tempo: 117.416843s
Hibrido, Nos: 1, Threads: 8, Tempo: 70.173009s
Hibrido, Nos: 2, Threads: 8, Tempo: 32.890281s
Hibrido, Nos: 4, Threads: 8, Tempo: 18.774006s
Hibrido, Nos: 4, Threads: 16, Tempo: 14.912707s
MPI Only, Nos: 1, Threads: 1 (Processos=1), Tempo: 443.926319s
MPI Only, Nos: 1, Threads: 1 (Processos=2), Tempo: 222.748391s
MPI Only, Nos: 1, Threads: 1 (Processos=4), Tempo: 115.922056s
MPI Only, Nos: 1, Threads: 1 (Processos=8), Tempo: 63.116290s
MPI Only, Nos: 2, Threads: 1 (Processos=16), Tempo: 30.987297s
MPI Only, Nos: 4, Threads: 1 (Processos=32), Tempo: 19.787310s
MPI Only, Nos: 4, Threads: 1 (Processos=63), Tempo: 13.823322s
>> Repetição 2
Hibrido, Nos: 1, Threads: 1, Tempo: 443.504189s
Hibrido, Nos: 1, Threads: 2, Tempo: 223.687070s
Hibrido, Nos: 1, Threads: 4, Tempo: 117.376512s
Hibrido, Nos: 1, Threads: 8, Tempo: 70.120599s
Hibrido, Nos: 2, Threads: 8, Tempo: 32.844151s
Hibrido, Nos: 4, Threads: 8, Tempo: 19.168990s
Hibrido, Nos: 4, Threads: 16, Tempo: 14.002213s
MPI Only, Nos: 1, Threads: 1 (Processos=1), Tempo: 443.623577s
MPI Only, Nos: 1, Threads: 1 (Processos=2), Tempo: 225.462286s
MPI Only, Nos: 1, Threads: 1 (Processos=4), Tempo: 116.800204s
MPI Only, Nos: 1, Threads: 1 (Processos=8), Tempo: 61.838691s
MPI Only, Nos: 2, Threads: 1 (Processos=16), Tempo: 32.875231s
MPI Only, Nos: 4, Threads: 1 (Processos=32), Tempo: 19.123748s
MPI Only, Nos: 4, Threads: 1 (Processos=63), Tempo: 13.577806s
>> Repetição 3
Hibrido, Nos: 1, Threads: 1, Tempo: 444.036066s
--- Fim dos Experimentos ---
